phi
0
0
-0.0015000000000000568
-0.0045000000000001705
-0.009000000000000341
-0.015000000000000568
-0.022500000000000853
-0.031500000000001194
-0.04200000000000159
-0.054000000000002046
-0.06750000000000256
-0.08250000000000313
-0.09900000000000375
-0.11700000000000443
-0.13650000000000517
-0.15750000000000597
-0.18000000000000682
-0.20400000000000773
-0.2295000000000087
-0.2565000000000097
-0.2850000000000108
-0.31500000000001194
-0.34650000000001313
-0.3795000000000144
-0.4140000000000157
-0.45000000000001705
-0.4875000000000185
-0.52650000000002
-0.5670000000000215
-0.6090000000000231
-0.6525000000000247
-0.6975000000000264
-0.7440000000000282
-0.79200000000003
-0.8415000000000319
-0.8925000000000338
-0.9450000000000358
-0.9990000000000379
-1.05450000000004
-1.1115000000000421
-1.1700000000000443
-1.2300000000000466
-1.291500000000049
-1.3545000000000513
-1.4190000000000538
-1.4850000000000563
-1.5525000000000588
-1.6215000000000614
-1.6920000000000641
-1.7640000000000668
-1.8375000000000696
-1.9125000000000725
-1.9890000000000754
-2.0670000000000783
-2.1465000000000813
-2.2275000000000844
-2.3100000000000875
-2.3940000000000907
-2.479500000000094
-2.5665000000000973
-2.6550000000001006
-2.745000000000104
-2.8365000000001075
-2.929500000000111
-3.0240000000001146
-3.1200000000001182
-3.217500000000122
-3.3165000000001257
-3.4170000000001295
-3.5190000000001334
-3.6225000000001373
-3.7275000000001413
-3.8340000000001453
-3.9420000000001494
-4.0515000000001535
-4.162500000000158
-4.275000000000162
-4.389000000000166
-4.504500000000171
-4.621500000000175
-4.74000000000018
-4.860000000000184
-4.981500000000189
-5.104500000000193
-5.229000000000198
-5.355000000000203
-5.482500000000208
-5.611500000000213
-5.742000000000218
-5.874000000000223
-6.007500000000228
-6.142500000000233
-6.279000000000238
-6.417000000000243
-6.5565000000002485
-6.697500000000254
-6.840000000000259
-6.984000000000265
-7.12950000000027
-7.276500000000276
-7.425000000000281
-7.575000000000287
